Energy,Protein,Fat,Carbohydrate,Name,Group
344,8.6,1.5,74.5,Gạo nếp - Nếp,Group_1
344,8.1,1.3,75,Gạo tẻ - Gạo,Group_1
345,7.5,2.7,72.8,Gạo lứt,Group_1
331,7,3,69,Kê,Group_1
196,4.1,2.3,39.6,Ngô - Bắp - Bắp Mỹ,Group_1
219,6.1,0.5,47.5,Bánh bao,Group_1
333,4,0.2,78.9,Bánh đa nem,Group_1
52,0.9,0.3,11.3,Bánh đúc,Group_1
249,7.9,0.8,52.6,Bánh mỳ - Bánh mì - Bánh sandwich,Group_1
143,3.2,0.4,31.7,Bánh phở,Group_1
292,8,10.8,40.7,Quẩy,Group_1
372,8.6,1.6,80.8,Bỏng ngô,Group_1
362,8.2,1.6,78.8,Bột gạo nếp - Bột nếp,Group_1
359,6.6,0.4,82.2,Bột gạo tẻ - Bột tẻ - Bột gạo,Group_1
346,10.3,1.1,73.6,Bột mì - Bột mỳ - Vỏ bánh,Group_1
361,8.3,4,73,Bột ngô - Bột bắp,Group_1
110,1.7,0,25.7,Bún,Group_1
297,6.1,0.8,66.3,Cốm,Group_1
349,11,0.9,74.2,Mỳ,Group_1
115,3.6,0.5,24,Củ ấu,Group_2
127,3.1,0.2,28.3,Củ cải,Group_2
119,1.4,0,28.4,Củ dong,Group_2
152,1.1,0.2,36.4,Củ sắn,Group_2
350,16.1,0.5,70.3,Củ súng khô,Group_2
92,1.5,0,21.5,Củ từ,Group_2
119,0.8,0.2,28.5,Khoai lang,Group_2
109,1.5,0.2,25.2,Khoai môn,Group_2
98,1,0.1,23.3,Khoai nước,Group_2
104,0.8,0,25.1,Khoai riềng,Group_2
114,1.8,0.1,26.5,Khoai sọ,Group_2
93,2,0.1,20.9,Khoai tây - Khoai,Group_2
332,0.6,0.1,82.2,Miến,Group_2
341,0.6,0,84.7,Bột dong lọc,Group_2
334,2.2,0.5,80.2,Bột khoai lang,Group_2
337,0.2,0,84.1,Bột khoai riềng,Group_2
345,1,0.3,84.4,Bột khoai tây,Group_2
333,2.4,0.5,79.6,Bột sắn - Bột sắn dây - Sắn dây,Group_2
333,2.2,0.5,80,Khoai lang khô,Group_2
330,6.6,0.3,75.1,Khoai tây khô,Group_2
340,3,0.7,80.3,Sắn khô - Sắn,Group_2
341,1,0,84.3,Trân châu,Group_2
368,4.8,36,6.2,Cùi dừa già,Group_3
40,3.5,1.7,2.6,Cùi dừa non - Cùi dừa - Dừa,Group_3
321,21.8,1.6,54.9,Đậu ve,Group_3
325,24.2,1.7,53.3,Đậu đen,Group_3
320,23.7,2,51.9,Đậu đũa,Group_3
318,22.2,1.4,54.1,Đậu Hà lan,Group_3
400,34,18.4,24.6,Đậu tương (đậu nành),Group_3
327,23.2,2.1,53.8,Đậu trắng hạt,Group_3
321,25.8,2,50,Đậu trứng cuốc,Group_3
328,23.4,2.4,53.1,Đậu xanh - Đậu tẻ,Group_3
638,18,59,8.7,Hạt dẻ cười,Group_3
223,4.2,1.1,49.1,Hạt dẻ,Group_3
472,17.3,29,35.5,Hạt đen,Group_3
605,18.4,46.3,28.7,Hạt điều - Điều,Group_3
166,0.7,1.1,38.3,Hạt mít,Group_3
573,27.5,44.5,15.5,Lạc - Đậu phộng - Đậu phụng,Group_3
568,20.1,46.4,17.6,"Vừng (đen, trắng)",Group_3
321,49,1,29,Bột đậu tương,Group_3
347,24.6,2.5,56.5,Bột đậu xanh,Group_3
575,27.5,45,15,Bột lạc,Group_3
95,10.9,5.4,0.7,Đậu phụ - Đậu - Tàu hũ - Đậu hũ - Tàu hủ,Group_3
519,35.1,31.8,23,Hạt bí đỏ,Group_3
551,31.8,39.1,18,Đậu hũ,Group_3
405,31.1,9.7,48.2,Sữa bột đậu nành,Group_3
28,3.1,1.6,0.4,Sữa đậu nành,Group_3
37,2.3,0.2,6.4,Tào phớ,Group_3
14,0.6,0.02,2.9,Bầu,Group_4
12,0.6,0,2.4,Bí đao - Bí xanh - Bí,Group_4
27,0.3,0.1,6.1,Bí ngô - Bí đỏ,Group_4
23,1.2,0.2,4,Cà bát,Group_4
20,0.6,0.2,4,Cà chua,Group_4
20,1.5,0,3.6,Cà pháo,Group_4
39,1.5,0.2,7.8,Cà rốt,Group_4
292,9.2,1.5,60.4,Cà rốt khô,Group_4
22,1,0,4.5,Cà tím,Group_4
29,1.8,0.1,5.3,Cải bắp - Bắp cải,Group_4
245,18,1.6,39.7,Cải bắp khô,Group_4
14,1.6,0,1.9,Cải cúc,Group_4
15,2.1,0.1,1.3,Cải xoong,Group_4
17,1.4,0.2,2.4,Cải thảo - Cải trắng - Cải ngọt,Group_4
